t_wall_ns,armed,heading_rad,roll_rate,pitch_rate,yaw_rate,thrust
1785545352894445300,1,0.4250,-0.00020026802667416632,-0.04257011041045189,0.0,0.26501500844011017
1785545352914497800,1,0.4250,0.590175433820471,-0.03384971246123314,0.0,0.2650094892826818
1785545352933599800,1,0.4250,1.1660612381189597,-0.03032541088759899,0.0,0.26500761618413554
1785545352954006100,1,0.4250,1.7327421669386778,-0.027524469420313835,0.0,0.2650083676518138
1785545352974480400,1,0.4250,2.2732932014708207,-0.02473735623061657,0.0,0.2650526326400906
1785545352993936600,1,0.4250,2.249014001641167,-0.02184009552001953,0.0,0.26531737427521146
1785545353014260900,1,0.4250,2.1138211603497394,-0.019637584686279297,0.0,0.265905618316942
1785545353034345200,1,0.4250,1.8355947251652607,-0.015712736174464226,0.0,0.2680917246012719
1785545353054340100,1,0.4250,1.0855898402342419,-0.013526915572583675,0.0,0.26997737410895145
1785545353073806200,1,0.4250,0.3811403286851234,-0.011947630904614925,0.0,0.27167104466331393
1785545353094378300,1,0.4250,-0.2754163962724212,-0.010773657821118832,0.0,0.2728933897465602
1785545353114692000,1,0.4250,-0.979860953238498,-0.00813674833625555,0.0,0.2748608991804832
1785545353133678100,1,0.4250,-1.0730887651443481,-0.007073401939123869,0.0,0.2748310328608806
1785545353154476500,1,0.4250,-1.0361989736557007,-0.006231784354895353,0.0,0.27414757502766385
1785545353173899100,1,0.4250,-0.9648860096931458,-0.0054073333740234375,0.0,0.2729015902795665
1785545353193514200,1,0.4250,-0.8197754621505737,-0.003918170928955078,0.0,0.27066448242019836
1785545353214369100,1,0.4250,-0.7719024419784546,-0.0033788678701967,0.0,0.2700120809375781
1785545353234179500,1,0.4250,-0.7207717895507812,-0.0027976033743470907,0.0,0.26936125759922247
1785545353253591200,1,0.4250,-0.666377067565918,-0.0022134780883789062,0.0,0.2687204102083838
1785545353273712500,1,0.4250,-0.6232677698135376,-0.0017933845520019531,0.0,0.268249851743538
1785545353293990600,1,0.4250,-0.5880181789398193,-0.0014696120051667094,0.0,0.2678893988671364
1785545353315047500,1,0.4250,-0.5475358366966248,-0.0011205673217773438,0.0,0.26543264323578536
1785545353334482200,1,0.4250,-0.4654527008533478,-0.00046014782856218517,0.0,0.2607832811186412
1785545353354483500,1,0.4250,-0.43528011441230774,-0.00023651121591683477,0.0,0.2534920812514425
